M,Y,State,Administered_Dose1_Pop_Pct,Administered_Cumulative,new_case,new_death,tot_cases
01,2022,AS,88.1,80758,0,0,11
01,2022,AZ,68.8,10882934,7212,154,1411813
01,2022,CA,79,66417737,165889,77,5714613
01,2022,CO,76.3,9781381,8269,42,978262
01,2022,CT,90.4,6835729,10602,64,544468
01,2022,DC,92,1356896,2006,2,105493
01,2022,DE,78.5,1626797,2337,0,191161
01,2022,FL,76,34544264,58977,93,4444051
01,2022,GA,62.8,13709873,17603,51,1904918
01,2022,GU,86.8,313843,189,0,20088
01,2022,HI,84,2623669,1500,0,119830
01,2022,IA,65.8,4704030,4642,161,592028
01,2022,ID,58.8,2256414,1722,19,322524
01,2022,IL,72.5,20244993,24423,100,2263166
01,2022,IN,58.6,8687830,8305,172,1286590
01,2022,KS,71.3,4223594,0,0,534399
01,2022,KY,63.7,6028334,9124,22,899579
01,2022,LA,58.6,5775660,9290,17,869146
01,2022,MA,92,13281261,18845,95,1192549
01,2022,MD,82.3,10799219,15264,43,777286
01,2022,ME,86.9,2568325,2396,26,159488
01,2022,MI,64.6,14528586,16427,118,1792295
01,2022,MN,72.3,9339106,16184,36,1045170
01,2022,MO,63.4,8219881,7616,193,1042221
01,2022,MP,84.4,97939,61,0,3453
01,2022,MS,57.2,3582717,4840,37,566102
01,2022,MT,63.1,1478580,935,3,199455
01,2022,NC,78.7,15318357,17397,37,1760991
01,2022,ND,63.1,1028617,1483,8,177812
01,2022,NE,67.8,2951300,5159,29,349523
01,2022,NH,83.3,2273856,1148,31,204897
01,2022,NJ,85.4,15425185,29614,78,1674453
01,2022,NM,82.4,3526516,1636,31,359116
01,2022,NV,71,4432290,2902,40,517246
01,2022,NY,85.5,35178065,22422,48,2032108
01,2022,OH,61.4,16371427,20411,227,2093074
01,2022,OK,67.5,5431420,3914,95,724875
01,2022,OR,75,6992897,4522,44,435453
01,2022,PA,80.2,20908983,24850,169,2119464
01,2022,PR,90.2,6273715,7763,6,312748
01,2022,PW,88.2,37797,1,0,19
01,2022,RI,91.7,2010526,4352,4,234016
01,2022,SC,64.6,6921163,6065,2,1015447
01,2022,SD,72.5,1288442,3047,4,183030
01,2022,TN,60.1,9239535,9195,50,1461607
01,2022,TX,68.8,42089555,53553,60,4798692
01,2022,UT,69.1,4765454,4661,7,656407
01,2022,VA,81.9,14999864,10726,7,1186895
01,2022,VI,61.5,133551,424,0,10714
01,2022,VT,90.4,1291596,1476,1,63401
01,2022,WA,77.5,12970599,6779,56,887318
01,2022,WI,69.2,9325070,9929,61,1142290
01,2022,WV,63,2543798,2353,5,339679
01,2022,WY,56.5,700240,746,46,117389
01,2021,AK,3.9,29620,209,0,47121
01,2021,AL,1.4,67242,4649,70,380599
01,2021,AR,2.4,77253,4107,36,238888
01,2021,AS,2.7,1226,0,0,3
01,2021,AZ,1.9,147029,5935,253,567841
01,2021,CA,1.8,728076,42631,327,2452334
01,2021,CO,2.8,166260,1671,47,357650
01,2021,CT,3,107765,2332,24,196968
01,2021,DC,1.8,29103,262,4,30166
01,2021,DE,2.1,22253,789,10,61682
01,2021,FL,2,454702,17425,167,1378004
01,2021,GA,1.4,157912,10091,101,706154
01,2021,GU,3.5,6100,2,0,7359
01,2021,HI,3,44306,107,0,21721
01,2021,IA,2.4,80144,1830,7,287306
01,2021,ID,1.8,35768,1538,12,144843
01,2021,IL,2.1,272206,6839,150,991719
01,2021,IN,2.3,164735,3407,147,533356
01,2021,KS,2.6,77014,0,0,231317
